"","V1","V2"
"1","""Jag vill att vi ska fortsätta vara ett land där vi visar varandra respekt.
Där vi står upp för medmänsklighet. 
Där vi gemensamt ser till att ingen hamnar utanför.
Eftersom det är värderingar som har byggt Sverige starkt. "" #almedalen","Centerpartiet"
"2","HBTQ-personer utsätts fortfarande för diskrimineringar i samhället. Vi vill att man ska få samma bemötande i samhället, oavsett vem man är!","Centerpartiet"
"3","Östersjön är ett av världens mest förorenade hav. Samtliga delar av Östersjön klassificeras som övergödda. Under Almedalen presenterade vi en rad kraftfulla förslag för att komma förbättra situationen. Se gärna filmen med @annieloof  från Almedalen.","Centerpartiet"
"4","– Pride är politik och att stå upp för tolerans och grundläggande värderingar om mänskliga rättigheter. Läs intervju med @annieloof i @QXse","Centerpartiet"
"5","""Det blir en möjlighet för riksdagen att diskutera och ge synpunkter om vad som bör göras på kort och lång sikt"", säger @KristinaYngwe efter att ha kallat landsbygdsminister Sven-Erik Bucht till Miljö- och jordbruksutskottet","Centerpartiet"
"6","Med anledning av torkan och skogsbränderna har@KristinaYngwe, vice ordförande i Miljö- och jordbruksutskottet, kallat in landsbygdsminister Sven-Erik Bucht till nästa utskottsmöte den 21 augusti.","Centerpartiet"
"7","Vi vill se att regeringen sätter samman en kriskommission där handeln, politiken, myndigheter och lantbruksnäringen ingår. ""Vi måste tänka nytt"", säger @KristinaYngwe som också kallat landsbygdsministern till utskottet för att ge besked.","Centerpartiet"
"8","För ett tag sedan gästade @annieloof @framgangspodden och Alexander Pärleros och pratade om Annies nya bok, målsättningar, djurfrågor, ledarskapstips och mycket mer. Du kan lyssna på hela avsnittet via länken: https://www.framgangspodden.se/#comp-jchrsh7f ","Centerpartiet"
"9","Idag öppnar brevröstningen från utlandet. Här kan du läsa mer om hur du går tillväga för att rösta från utlandet: https://www.centerpartiet.se/val-2018/rosta-som-utlandssvensk/sa-har-rostar-du-fran-utlandet …","Centerpartiet"
"10","Centerpartiets försvarspolitiske talesperson @danielsaffle var initiativtagare till dagens extrainsatta utskottsmöte. Anledningen till mötet är den senaste tidens skogsbränder. 
- Läget är allvarligt, säger Daniel Bäckström.","Centerpartiet"
"11","På många sätt är vi på rätt väg när det kommer till jämställdhet. Men det finns mycket kvar att göra. När möjligheter, vård, makt och lön är lika för kvinnor och män, då får vi ett samhälle som för Sverige framåt.","Centerpartiet"
"12","Vi har lagt fram en historiskt stor satsning och avsätter nio miljarder extra till polisen under tre år. Var man än bor i Sverige ska man känna trygghet och veta att polisen finns nära. Läs intervjun med @JohanHedin_PLC om våra förslag här: https://www.centerpartiet.se/press/pressmeddelande/nyhetsarkiv-2018/2018-07-22-nio-miljarder-for-ett-tryggt-sverige …","Centerpartiet"
"13","Det är väldigt många som hjälper till i arbetet för att släcka skogsbränder runt om i hela landet. ""Tack för det ni gjort, det ni gör och det ni kommer göra de kommande veckorna. Ovärderligt. Modigt. Uthålligt. Och nödvändigt. Tack!"" – @annieloof","Centerpartiet"
"14","Annie Lööf på plats i Ljusdal: ”Jag är stolt över insatserna”. @Centerpartiet @annieloof
https://omni.se/loof-pa-plats-i-ljusdal-ar-stolt-over-insatserna/a/XwQwRB …","Centerpartiet"
"15","Röken var märkbar när jag idag besökte Ljusdal och de omfattande skogsbränderna som härjar och förgör ekonomiska och känslomässiga värden. Läs hela min kommentar: https://www.facebook.com/118943054880945/posts/1613399702101932/ …","Centerpartiet"
"16","Idag besöker jag Ljusdal i Gävleborgs län, med anledning av skogsbränderna och torkan för att på plats få en lägesbild.","Centerpartiet"
"17","Oerhört imponerad över alla insatser som görs över hela landet för att hindra skogsbrändernas framfart. Från räddningstjänsten, hemvärnet till alla frivilligarbetarna. I krislägen som dessa visar samhället sin absoluta styrka. Ni gör alla djupt imponerande insatser. Tack.","Centerpartiet"
"18","Det är krisläge i Sverige och skogsbränderna är mycket allvarliga. Det larmas om resursbrist runt om i landet. Vi saknar en stark krisledning och besked från regeringens sida. Därför kräver vi extrainsatt försvarsutskott.","Centerpartiet"
"19","- Det är krisläge i Sverige, det är väldigt oroande. Jag har inte upplevt särskilt många besked från regeringen, då är det på plats att försvarsutskottet sammanträder, kommenterar Daniel Bäckström (C).","Centerpartiet"
"20","Gårdsförsäljning kommer skapa jobb och tillväxt i hela landet, inte minst på landsbygden. @ErlandssonEskil och @KristinaYngwe skriver om varför vi vill att gårdsförsäljning ska tillåtas. Läs mer här:","Centerpartiet"
