"","V1","V2"
"1","Man kan lita på var man har vänstern. Vi bygger inga murar. Vi hotar inte rätten att strejka. Vi säljer inte ut välfärden. Vi tycker att sjuka ska få sjukpenning. Vi försvarar rätten till personlig assistans. Vi har en politik för de många, inte för de få","vansterpartiet"
"2","Det tackar vi för Marcus! Tillsammans kan vi göra Sverige till världens mest jämlika land igen.","vansterpartiet"
"3","Hög tid att även Sverige sätter en gräns för när nya fossildrivna bilar får säljas. Vänsterpartiet föreslår 2025.","vansterpartiet"
"4","I toppen växer rikedomarna. Hos vanligt folk växer känslan av att förtjäna bättre. Politiken har Sverige har blivit ett skatteparadis för miljardärer. De får göra avdrag för sitt sätt att leva. Vi andra betalar fullt pris. #nuräckerdet 
https://www.vansterpartiet.se/engagera-dig/://www.facebook.com/vansterpartiet/videos/10157231334320348/ …","vansterpartiet"
"5","Man måste likt en Astrid Lindgren-figur ha ett hjärta av sten om man inte vill låta barn slippa klassamhället. #dagensjonas","vansterpartiet"
"6","Du är varmt välkommen Yasmine! Vi arbetar för att du ska bli en nöjd vänsterpartiväljare. Tillsammans kan vi bygga ett Sverige för alla, inte bara för de rikaste.","vansterpartiet"
"7","Bästa ögonblicket igår på NärCon, när den här killen kom fram och var glad över att Vänsterpartiet fixat hans kort på länstrafiken i sommar.","vansterpartiet"
"8","Nu har jag förvisso aldrig påstått att den här regeringen är lyckad. Själv hade jag velat se mer engagemang för vård, skola omsorg och sjuka. Hade gärna sett förbättringar för småföretagen också. Det är som därför jag röstar på V och inte S.","vansterpartiet"
"9","Vi har genomfört massor med feministisk politik. Från ökat stöd till kvinnojourer till ordentliga satsningar på äldreomsorgen. #dagensjonas","vansterpartiet"
"10","Kultur för alla, inte bara för de rikaste! Skriver med @MGarmroudi i dagens BT om en välfärdsreform för alla barns rätt att utöva kultur:","vansterpartiet"
"11","","vansterpartiet"
"12","Så fint att få komma till #NärCon och få prata vänsterpolitik. Kreativiteten, toleransen och värmen är fantastisk.","vansterpartiet"
"13","Hur kan någon tycka att det är rimligt att den som har oturen att bli sjuk ska betala högre skatt än den som har turen att få vara frisk och kunna gå till jobbet. Jag tycker det är kall och cynisk politik","vansterpartiet"
"14","Högern funderar på bortförklaringar, vi funderar på lösningar. #dagensjonas #merklimat","vansterpartiet"
"15","Vad roligt att höra!  Tillsammans bygger vi ett samhälle för alla och inte bara för eliten. #V2018 ","vansterpartiet"
"16","Det tackar vi för! Tillsammans gör vi skillnad.","vansterpartiet"
"17","Plötsligt händer det! Är du också på NärCon? Kom förbi och säg hej! Klockan 13 i Zen garden. #närcon","vansterpartiet"
"18","Det är dags att införa ett tredje juridiskt kön. Kunskapen finns, om regeringen tillsätter en snabbutredningen kan en ny lag vara på plats redan om något år. @jsjostedt skriver på ETC Debatt. https://www.etc.se/debatt/v-snabbutred-fragan-om-ett-tredje-juridiskt-kon … #europride2018 #stockholmpride","vansterpartiet"
"19","Vänstern står för HBTQ-rättigheter och för rätten att få uttrycka vem man är. Nu vill vi införa ett tredje kön, det är dags. #närcon","vansterpartiet"
"20","Vad kan vi göra för 43 miljarder kronor?
Enligt Uppdrag Gransknings beräkningar undanhålls ca 43 miljarder i skatt varje år genom skatteflykt. 
För de pengarna skulle vi kunna göra mycket… https://www.instagram.com/p/BlsIN22juG5/?utm_source=ig_twitter_share&igshid=qdsjlup9clck …","vansterpartiet"
"21","En progressiv miljörörelse ställer störst krav på den som släpper ut mest. #dagensjonas","vansterpartiet"
