"","V1","V2"
"1",".@kdriks @Brannberg skriver idag i Skaraborgs-media om att multisjuka äldre behöver prioriteras i sjukvården. #svpol","kdriks"
"2","Valintervju med @p4malmohus, om att @kdriks är det enda partiet som har modet att göra riktigt stora reformer inom sjukvården och vikten att som riksdagsledamot arbeta tätt med sin valkrets. #välfärdslöftet https://sverigesradio.se/sida/artikel.aspx?programid=96&artikel=7008419 …","kdriks"
"3","Vi måste se till att få in foder, tidigarelägga EU-bidrag och se till att slakterierna kan slakta mer och köttet frysas. Det säger Magnus Oscarsson i en intervju i @Jordbruk #svpol 

http://www.ja.se/artikel/57686/kd-vill-se-tidigare-eu-utbetalningar-och-std-till-slakten.html …","kdriks"
"4","Sverige behöver större egen kapacitet att kunna släcka skogsbränder och en tydlig ledning som som ser till att vi kan använda alla de helikopterresurser som finns på bästa möjliga sätt.","kdriks"
"5","Snart i Sveg för möte med bla kommunledning på brandkontoret för att höra hur de drabbats lokalt och hur de nu arbetar framåt. Så tuff situation för drabbade och räddningsarbetare. Tacksam för det jobb de gör och alla civila ideella insatser. https://instagram.com/p/BlYHbqWlZs5/ ","kdriks"
"6","","kdriks"
"7","Det är bra att regeringen ber EU om pengar från krisfonden, men man borde gjort något tidigare, säger Magnus Oscarsson (KD), jordbrukspolitisk talesperson #svpol","kdriks"
"8","Vi kristdemokrater kommer fortsätta att kämpa för att religionsfriheten ska få en mer framskjuten plats i svensk utrikespolitik, skriver @BuschEbba @SofiaDammKD i @SvDDebatt #svpol","kdriks"
"9","Fasta läkare och fler vårdcentraler kortar köerna Nu behövs en primärvårdsreform @CamillaWalterss @nya_moderaterna  @anderswjonsson @Centerpartiet @AnnaStarbrink @liberalerna @AckoAnkarberg @kdriks @HeidiStensmyren @lakarforbundet @GoteborgsPosten #vardpol","kdriks"
"10","Skriver med @HeidiStensmyren @CamillaWalterss @anderswjonsson @AnnaStarbrink om vikten av en rejäl primärvårdsreform. @kdriks @alliansswe #svpol","kdriks"
"11","Våra förslag för att hjälpa svenska bönder i denna krissituation:
Myndigheter måste ge snabba besked om vad som gäller
Sverige måste få använda EU:s krisfond
De offentlige köken bör köpa svenskt kött
Läs hela artikeln i @ABDebatt","kdriks"
"12","Att bekämpa ensamheten och dess förödande konsekvenser måste nu bli en gemensam och högt prioriterad uppgift i vårt samhälle, skriver @jakobforssmed i @DNDebatt #svpol","kdriks"
"13","Bra sammanfattning i @svtnyheter av @BuschEbba tal i #almedalen18 . Stort fokus på vården när Ebba Busch Thor talade i Almedalen https://www.svt.se/nyheter/inrikes/stort-fokus-pa-varden-nar-ebba-busch-thor-talade-i-almedalen?cmpid=del:tw:20180706:stort-fokus-pa-varden-nar-ebba-busch-thor-talade-i-almedalen:nyh:lp … via @svtnyheter @kdriks","kdriks"
"14","... antalet personer som väljer att lyssna på @BuschEbba istället. Vinden har vänt.","kdriks"
"15","Antalet personer som kollar på Brasilien - Belgien i Almedalen...","kdriks"
"16","Live nu på @SVTOpinion #almedalen","kdriks"
"17","LIVE-TV: Kristdemokraternas partiledare Ebba Busch Thor @BuschEbba talar i #Almedalen • Se hela talet i @expressenTV
https://www.expressen.se/nyheter/almedalen/almedalen-2018--folj-politikerveckan-i-visby-med-expressen/ …","kdriks"
"18","JUST NU: Ebba Busch Thor (KD) håller tal i Almedalen. Vi sänder direkt: https://sverigesradio.se/sida/artikel.aspx?programid=83&artikel=6994395 …","kdriks"
"19","Vi är alla svenskar! Starkt försvar av människovärdet och mot nazism, av Ebba Busch Thor i #Almedalen","kdriks"
"20","Bra av @buschebba att lyfta #välfärdssveket, men också att det behövs ett parti som sätter välfärdsfrågorna i fokus i en ny Alliansregering. Utan @kdriks i nästa regering riskerar välfärdssveket att fortsätta. #svpol","kdriks"
"21",".@BuschEbba : @Stefan_Lofven vill att valet i höst blir en folkomröstning om välfärden. Gärna för mig! BRING IT ON! #Almadalen2018 @kdriks #välfärdslöftet #val2018","kdriks"
"22","Låt oss komma samman. Låt oss bygga vidare på de värderingar som gjort oss framgångsrika. Låt oss bestämma oss för att välja en ny regering. Då kan vi återupprätta välfärdslöftet.","kdriks"
"23","Du kan vara stolt över en röst på Kristdemokraterna. För det behövs ett parti vars prioritering i valet är välfärden – sjukvården, äldreomsorgen och fler poliser.","kdriks"
"24","Var och en måste göra sin utvärdering av den här mandatperioden. Det är en del av ens uppgift som väljare. Men tillåt mig att skicka med en uppmaning – Titta på verkligheten. Har vi fått det bättre? Fungerar sjukvården bättre?","kdriks"
"25","Ytterst handlar värderingar om att ett samhälle ska hålla ihop. Nu – mer än någonsin – behövs goda värderingar i svensk politik. Detta val är ett värderingsval.","kdriks"
"26","Kommer man till vårt land från krig, kaos och korruption och med de bästa föresatser att bygga upp ett nytt liv, så måste man mötas av respekt och omtanke. Men också med tydlighet. För vissa värderingar är inte valbara.","kdriks"
"27","Jag tror att en hel del av de problem som vi har haft i samband med integrationen har med värderingar att göra. Eller kanske snarare – med att vi har varit otydliga med vilka värderingar som gäller här.","kdriks"
"28","Egentligen handlar politik ytterst om värderingar. Det är värderingar som är själva ’kittet’ i samhället. Det är värderingar som gör att vi vågar lita på varandra. Det är värderingar som gör att vi gör vårt bästa för att följa lagar och regler.","kdriks"
