"","V1","V2"
"1","2018 går vi till val med planetens viktigaste fråga. https://www.facebook.com/miljopartiet/videos/10157040815041151/ … #nu","miljopartiet"
"2","Vi måste alla inse att det här är vår kris. Mat växer inte på Ica. Naturen är allas vår att förvalta. Vi måste stå tillsammans, ge allt stöd till alla som drabbas och de hjältar som nu kämpar för att rädda liv och hem, skriver @GustavFridolin","miljopartiet"
"3","Isabella Lövin (MP) på besök i Älvdalen https://t.sr.se/2JB9jkF ","miljopartiet"
"4","Dagligvaruhandeln borde sluta sälja och marknadsföra engångsgrillar när det råder eldningsförbud. Om branschen inte kan komma överens på egen hand kommer jag kalla aktörerna till samtal i höst för att få till en förändring.","miljopartiet"
"5","Idag besöker @IsabellaLovin sitt hemlän Dalarna för möten & lägesrapporter om torkan och bränderna. Här tillsammans med räddningschefen Jan-Olov Olsson, Älvdalens kommun.","miljopartiet"
"6","Just nu pågår hjälteinsatser runt om i Sverige för att släcka bränder. Bönderna ser skördar torka bort. Dags för dem som vill skära ner på klimatbudgeten, sänka bensinskatten och skrota flygskatten att fråga sig vad kostnaden för att inte ställa om samhället blir. #svpol","miljopartiet"
"7","Klimatet kan inte vänta. Idag skriver språkrören på @DNDebatt","miljopartiet"
"8","DN DEBATT 20/7
­Miljö­partiets språkrör Isabella Lövin och Gustav Fridolin:
”Vi måste räkna ut kostnaden för klimatförändringen”","miljopartiet"
"9","De som vill spara på kostnader för klimatomställning bör sätta det i relation till kostnaderna av att inte ställa om. Då riskerar vi världens livsmedels- och vattenförsörjning, och enorma skador på infrastruktur, natur och egendom. #klimat","miljopartiet"
"10","Ett stort tack till alla hjältar, proffs och frivilliga som kämpar med att släcka skogsbränderna i denna hetta. Era insatser är ovärderliga.","miljopartiet"
"11","Sverige leder allians för globalt kemikalieavtal","miljopartiet"
"12","Today, I am launching the Alliance for High Ambition on chemicals and waste. Hazardous chemicals are everywhere, and our oceans are overflowing with plastics. It is time for a new and stronger agenda to reach a sustainable management of chemicals and waste @SwedenUN #HLPF18","miljopartiet"
"13","Fosforåtervinningen måste ta fart i världen. Fosfor är en ändlig resurs vars brytande är behäftat med stora problem. Det finns idag tekniska lösningar för återvinning och det är viktigt att vi utnyttjar dem @AndersWijkman @jrockstrom @RagnSells_AB","miljopartiet"
"14","Vår EU-parlamentariker @JakopDalunde blir huvudansvarig för  lagstiftningen som bestämmer EU:s färdplan mot att uppnå Parisavtalet.  Om lagen går igenom är det första steget mot att nå fram till vårt vallöfte om en europeisk klimatlag!","miljopartiet"
"15","Chemicals are everywhere in our daily lives. Many of them have contributed greatly to our welfare. Sadly many also pose great risks and some are dangerous. A more globalized world requires cooperation. Therefore we need a global deal on chemicals!","miljopartiet"
"16","Kemikalierna finns överallt i vår vardag. Via vår privatimport tar de sig över gränser i hela världen. Ändå saknas bra globala spelregler. Världen behöver ett globalt avtal för kemikalier!","miljopartiet"
"17","Gustav Fridolin i Ekot: Det här är en del i en kraftsamling hela samhället måste ha mot nazismen","miljopartiet"
"18","För att stoppa biltillverkarnas fusk behöver vi oberoende mätningar av utsläpp. Miljöminister @karolinaskog sätter press på bilindustrin!","miljopartiet"
"19","Torkan slår hårt mot svenska bönder. Köp svenskt kött, uppmanar Gustav Fridolin (MP), som också vill införa en straffskatt på importerat fulkött. http://www.gp.se/debatt/inf%C3%B6r-skatt-p%C3%A5-importerat-fulk%C3%B6tt-1.7036335 … #svpol @miljopartiet","miljopartiet"
"20","Klimatförändringarna innebär också säkerhetshot. Dags för världssamfundet att agera skriver <U+2066>@IsabellaLovin<U+2069> och <U+2066>@margotwallstrom<U+2069>","miljopartiet"
"21","Det finns ingen demokratisk rasism. Släpp inte in högerextremismen i värmen!  – @IsabellaLovin #nu #almedalen","miljopartiet"
"22",". @IsabellaLovin: Det krävs en tydlig garanti för den som vill rösta på Lööf och Björklund men inte vill ge inflytande till SD. Innan valet. Blir det ja eller nej till en regering beroende av SD? #nu #almedalen","miljopartiet"
"23","När vi ser våra barnbarn i ögonen på ålderns höst kan vi berätta att vi klarade av hotet när vi såg det. Eller också kan vi berätta att vi inget gjorde fast vi visste. Det är det val vi har idag och det som valet handlar om i höst.  - @IsabellaLovin #nu","miljopartiet"
"24","”Det är dags att förstå att klimatförändringarna inte bara handlar om isbjörnar, utan om mat och vatten, torka och översvämningar, krig och fred och migration. Det har Pentagon förstått för längesedan även om inte Vita huset har det.”","miljopartiet"
"25","Bara för att vädret är galet behöver inte politiken vara det! – @IsabellaLovin #almedalen #nu","miljopartiet"
"26","”Om vi fortsätter business as usual kommer Skandinavien bli upp till sex grader varmare i slutet av detta århundrade. Det kan vi inte tillåta.” - @IsabellaLovin #nu #almedalen","miljopartiet"
"27","Nu: @isabellalovin talar i Almedalen! Följ direkt: https://www.facebook.com/miljopartiet/videos/10157988550011151/ … klimatet kan inte vänta!","miljopartiet"
"28","Så säkrar vi vår mat i ett förändrat klimat: https://www.mp.se/just-nu/forslag-matsakerhet-i-ett-forandrat-klimat … #nu #almedalen #miljö #klimat","miljopartiet"
"29",".@miljopartiet har fått ny fart på regeringens miljöpolitik och flyttat fram politiken på 16 av 18 områden. Fantastiskt! Här får du koll på partiet på en minut.#almedalen2018 #almedalen #miljöpartiet #val2018 #swgreen @BergstrmStina @karolinaskog @GustavFridolin  @IsabellaLovin","miljopartiet"
"30","Miljöpartiet vill införa ett nationellt mål för självförsörjning på 80 procent • Följ pressträffen i Expressen TV https://www.expressen.se/nyheter/almedalen/almedalen-2018--folj-politikerveckan-i-visby-med-expressen/ …","miljopartiet"
"31","NU: Pressträff med språkrören direkt från Almedalen! Följ: https://www.facebook.com/miljopartiet/videos/10157988354626151/ …","miljopartiet"
"32","Missa inte seriesläpp kl 17! @daria_bogdanska (”Wage Slaves”) har ritat en serie om lobbyism i EU där jag är en av karaktärerna. Daria samtalar m @MaxGustafson och Fabian Göranson om serier & politik. Det blir lobbyistbingo. Välkomna! https://www.facebook.com/events/1696747053778678/ … #lobbyism #Almedalen","miljopartiet"
"33","Missa inte panel om svängdörrar idag kl 16 i Visby m @AndersSchroder @hannalidstrom ! Kom & ställ dina frågor till oss! 
#svängdörrar #lobbyism #svpol @GronUngdom @miljopartiet

https://www.facebook.com/events/241165536687579/ …","miljopartiet"
"34","”Mångfald är så mycket starkare än enfald. Vi låter inte nazisterna kidnappa vår demokrati.” - Gustav Fridolin talar på #mångfaldsparaden i #Almedalen ","miljopartiet"
"35","Vi är det land i världen som har skarpast miljö- och klimatpolitik! @karolinaskog hos @naturskyddsf om em ska ta ansvar i de stora miljöfrågorna när klockan tickar. https://www.facebook.com/naturskyddsforeningen/videos/10156201901396609/ …","miljopartiet"
"36","Även centerväljarna tycker att flyget ska bära sina klimatkostnader. Sund inställning som inte delas av Centerpartiets  ledning. #klimat #svpol","miljopartiet"
"37"," Ta bort flygskatt,
 Skära ner lokala klimatinvesteringar,
 Skära ner på stödet till natur,
 Ta bort var fjärde krona från miljöbudgeten.

Sverige har inte råd med Centerpartiets så kallade miljöpolitik.","miljopartiet"
"38","Gustav Fridolin vill ändra lagen efter NMR:s nya tillstånd i Almedalen https://www.expressen.se/nyheter/almedalen/fridolin-vill-andra-lagen-efter-nmrs-nya-polistillstand/?utm_medium=link&utm_campaign=social_sharing&utm_source=twitter&social=twtr … #Expressen via @Expressen","miljopartiet"
"39","Psykisk ohälsa är en av de största utmaningarna vi står inför i skolan. Miljöpartiet vill att staten skjuter till resurser och sluter avtal med SKL för att nå målet om en köfri barn- och ungdomspsykiatri. Fridolin om skolans utmaningar i @Lararforbundet debatt. #utpol","miljopartiet"
"40","Gustav Fridolin lyfter särskilt fler vägar in yrket som förskollärare på publikens fråga om lärarbristen i @Lararforbundet stora skoldebatt. #förskola #utbpol","miljopartiet"
"41","Fridolin: Om Moderaterna nu står bakom regeringens arbete med Samverkan för bästa skola, med stöd till skolor med störst behov, är det mycket välkommet. Men i tidigare budgetförslag har de varje gång skurit bort detta viktiga stöd. @Lararforbundet #utbpol","miljopartiet"
"42","Skolkommissionens förslag har förändrat skoldebatten. Vi behöver behandla skolpolitiken som vi hanterar försvarspolitiken, med breda överenskommelser som ger långsiktiga förutsättningar. Gustav Fridolin inleder @Lararforbundet skoldebatt i Almedalen. #utbpol","miljopartiet"
"43","Ska vi ge fler elever förutsättningar att klara en skolan måste vi bryta skolsegregation. Gemensam antagning, ändra kösystemet så barn inte måste köa från BB och placera nya skolor så de bryter segregation, inte spär på den. Fridolin i @lararnas skoldebatt i #Almedalen","miljopartiet"
"44","Fridolin: Länge har vi hört retoriken från L om större statligt ansvar, men de genomförde mycket lite. Nu har MP drivit fram direkt statligt stöd till skolor med svåra förutsättningar och statligt ansvar för finansieringen av jämlikheten i i skolan. @lararnas #utbpol","miljopartiet"
