"","V1","V2"
"1","Sverige behöver en fortsatt stram migrationspolitik. M a a Migrationsverkets nya prognos är det viktigt att de tillfälliga reglerna permanentas - väl sammanfattat av Tobias Billström i @svtnyheter #svpol","nya_moderaterna"
"2","Regeringens utredare vill behålla straffrabatten för våldtäktsmän och personer som misshandlar. Moderaterna vill avskaffa straffrabatten.","nya_moderaterna"
"3","Moderaterna vill sänka dieselskatten med en krona för att hjälpa Sveriges lantbrukare.","nya_moderaterna"
"4","Alliansen i Stockholm kräver att regeringen agerar för att få ordning på Citybanan. Helt rätt. Ska fler välja tåget måste den regionala pendlingen fungera. Staten måste hålla vad den lovat och ge skattebetalarna och alla pendlare den trafik de betalat för.","nya_moderaterna"
"5","Om man får problem att stå sig i den internationella konkurrensen och det leder till att vi köper mer produkter från andra länder så har vi inte gynnat klimatet - @MariaStenergard","nya_moderaterna"
"6","Jag tycker att regeringen omedelbart borde tydliggöra för utredarna att man vill ha ett förslag som fullt ut tar bort ungdomsrabatten. Det är det enda rimliga - @tomastobe","nya_moderaterna"
"7","Från och med idag kan svenska medborgare som befinner sig utomlands brevrösta, det vill säga skicka sin röst med posten. Om du ännu inte fått brevröstningsmaterial så kan du beställa detta snabbt och kostnadsfritt tillsammans med vår riksvalsedel här:
http://www.moderaterna.se/valsedlar .","nya_moderaterna"
"8","(M) lanserade krisplan mot torkan i Enköping https://t.sr.se/2v48sUx ","nya_moderaterna"
"9","Ulf Kristersson (M) varnar för extrema ekonomiska svårigheter och konkurser i branschen om den inte ges mer stöd, vilket han ser som ett hot mot Sveriges självförsörjning och beredskap.","nya_moderaterna"
"10","”Allt det här skulle vi vilja göra i höständringsbudgeten.”","nya_moderaterna"
"11","Det är en permanent kris nu för många av Sveriges jordbrukare - Ulf Kristersson","nya_moderaterna"
"12","Den allvarliga torkan har drabbat Sveriges lantbrukare särskilt hårt. Krisen kräver åtgärder här och nu. Läs mer här: https://moderaterna.se/samlat-krisstodspaket-till-sveriges-lantbrukare-med-anledning-av-torkan …","nya_moderaterna"
"13","Moderaterna presenterar idag ett samlat krisstödspaket till Sveriges lantbrukare med anledning av torkan:

Åtgärder för att säkerställa lantbrukarnas likviditet.

Tillfälliga regellättnader för att hantera torkan.

Krisstöd till drabbade lantbrukare.","nya_moderaterna"
"14","Följ pressträffen med Ulf Kristersson och Maria Malmer Stenergard här: https://www.facebook.com/moderaterna/videos/10155544235596156/ …","nya_moderaterna"
"15","Ulf Kristersson och @MariaStenergard besöker nu Kromsta Lantbruk med anledning av torkan som slår hårt mot lantbrukare. Läs mer om bakgrunden här: https://www.facebook.com/1694628737439476/posts/2190243447878000/ …","nya_moderaterna"
"16","I dag besöker Ulf Kristersson Kromsta lantbruk tillsammans med Maria Malmer Stenergard, miljö- och jordbrukspolitisk talesperson. Besöket följs av en pressträff:
https://moderaterna.se/ulf-kristersson-besoker-kromsta-lantbruk …","nya_moderaterna"
"17","Vi har inte i dag tillräckligt samlad kapacitet, det tycker jag är uppenbart - Ulf Kristersson om beredskapen i Sverige i extrasändningen om skogsbränderna i @svtnyheter.","nya_moderaterna"
"18","Staten måste vara stark när det händer allvarliga händelser - Ulf Kristersson i extrasändningen från @svtnyheter i kväll om bränderna. Läs en längre kommentar från i helgen här: https://www.facebook.com/1694628737439476/posts/2185078075061204/ …","nya_moderaterna"
"19","Trots att den rödgröna regeringen höjt skatterna med 60 miljarder kronor, känner många att de är oroliga att föda barn - @CamillaWalterss på @ExpressenDebatt","nya_moderaterna"
"20","I kväll klockan 20.00 är Ulf Kristersson med i ett extrainsatt @svtnyheter om brandläget, räddningsinsatserna och engagemanget. #svpol","nya_moderaterna"
"21","På en mandatperiod har vårdköerna fördubblats, köerna till barn- och ungdomspsykiatrin (BUP) har tredubblats och färre än hälften av alla cancerpatienter får vård i tid. Detta är ett mycket dåligt bokslut för Socialdemokratena - @CamillaWalterss","nya_moderaterna"
"22","Vårdköerna har fördubblats, polistätheten är den lägsta på tio år och var femte elev lämnar grundskolan utan gymnasiebehörighet. Sverigedemokraterna verkar vara beredda att låta detta fortgå, men det är inte vi, skriver @TobiasBillstrom","nya_moderaterna"
"23","Politiker ska förenkla jakten i Sverige, inte försvåra. Det är en av Moderaternas viktigaste utgångspunkter i jaktpolitiken - @StenBergheden","nya_moderaterna"
"24","Sverigedemokraternas besked är viktigt – en röst på SD kan lika gärna vara en röst på Stefan Löfven. Vill man byta regering gör man alltså bäst i att rösta på Moderaterna, skriver  @TobiasBillstrom","nya_moderaterna"
"25","Debatterade gårdsförsäljning i kvällens SVT Aktuellt. Alliansen är för, regeringen emot. Gårdsförsäljning kan hjälpa hundratals företag runt om i Sverige och bidra till nya jobb och en utvecklad dryckeskultur! – på SVT Nyheter https://www.facebook.com/829338915/posts/10157768602988916/ …","nya_moderaterna"
"26","Alliansen har kallat regeringen till möte om skogsbränderna:","nya_moderaterna"
"27","Staten måste vara stark när det gäller att skydda våra gränser och värna vår nationella säkerhet - Ulf Kristersson om bränderna efter besök i Sveg.
https://www.facebook.com/1694628737439476/posts/2185078075061204/ …","nya_moderaterna"
"28","Moderatledaren Ulf Kristersson i Sveg – besökte bland annat Härjeåsjöns Lantgård som tidigare i veckan varit evakuerade https://sveg.se/moderatledaren-ulf-kristersson-i-sveg-besokte-bland-annat-harjeasjons-lantgard-som-tidigare-i-veckan-varit-evakuerade/ …","nya_moderaterna"
"29","Moderaternas partiledare Ulf Kristersson är på plats i Sveg – hör honom i Expressen TV. 
https://www.expressen.se/tv/nyheter/live/live-tv-senaste-nyheterna-med-expressen-tv-8/ …","nya_moderaterna"
"30","Ulf Kristersson om Telias förvärv av TV4 och regeringens agerande: ”Staten ska inte äga både SVT och TV4.”
https://m.facebook.com/1694628737439476/posts/2183749891860689/ …","nya_moderaterna"
"31","Strax kommenterar @ElisabethSvan Telias köp av TV4 i @ExpressenTV","nya_moderaterna"
"32","Det är djupt problematiskt att staten genom den här affären kommer bli den dominerande ägaren på mediemarknaden. Det är något vi skulle anse vara olämpligt i alla andra länder - @ElisabethSvan","nya_moderaterna"
"33","Migrationsministern undrar vad @nya_moderaterna vill göra? Jo, vi vill utvisa de som saknar rätt att efter avslutad prövning vistas i Sverige. Så enkelt är det. #svpol #migpol -","nya_moderaterna"
"34","Ulf Kristersson om skogsbränderna:
https://www.facebook.com/1694628737439476/posts/2181902718712073/ …","nya_moderaterna"
"35","","nya_moderaterna"
"36","Vår beredskap är för dålig. Det är klart att vi måste bli bättre, och därför har jag också ställt frågor till regeringen om vad man tänker göra framöver - @BeatriceAsk2 om skogsbränderna.","nya_moderaterna"
"37","Istället för att subventionera elcyklar skulle regeringen för samma kostnad kunna köpa in 3-4 brandflyg. Beatrice Ask säger som vanligt som det är.","nya_moderaterna"
"38","Regeringen valde att stoppa utredningen efter skogsbranden i Västmanland, som Alliansen tillsatte 2014. Det var ett misstag. Man måste lära av det som varit och ha beredskap. Regeringen har uppenbara problem att leda landet i kris. Se @BeatriceAsk2 i #aktuellt ikväll.","nya_moderaterna"
"39","Just nu: @BeatriceAsk2 direkt i @ExpressenTV om skogsbränderna.","nya_moderaterna"
"40","Skärp straff för våldtäkt, slopa rabatt på staff för serievåldtäktsmän och fördubbla skadestånd till brottsoffer. För oss moderater står brottsoffret i centrum, inte gärningsmannen. https://nyheter24.se/debatt/911280-tomas-tobe-m-kampen-mot-sexualbrotten-maste-trappas-upp … #svpol","nya_moderaterna"
"41","Migrationsverket bör lägga hanteringen av gymnasielagen på is. Viktigt att alla oklarheter i regeringens lagstiftning först klaras ut. Intervjuad i Rapport.","nya_moderaterna"
"42","Grundproblemen på dagens bostadsmarknad kan enbart lösas genom reformförslag som förkortar och förenklar byggprocessen, skapar förutsättningar för att få fram mer byggbar mark och ökar rörligheten - @matsgreenM","nya_moderaterna"
"43","Sveriges kommuner och landsting belyser ytterligare oklarheter i gymnasielagen för ensamkommande.","nya_moderaterna"
"44","Sekretesslagen bör ses över för att man ska kunna undvika att barn i Sverige lever som gifta i så kallade nätverkshem. - @TobiasBillstrom","nya_moderaterna"
"45","Migrationsministern måste komma till riksdagen redan i sommar och förklara hur regeringen ska hantera den allvarliga kritiken från två migrationsdomstolar.","nya_moderaterna"
"46","Den här lagen borde aldrig ha gått igenom. Vi vill att den rivs. - @JohanForssell om gymnasielagen.","nya_moderaterna"
"47","Ska vi ha en hållbar migrationspolitik måste asylskäl vara avgörande för om man får stanna i Sverige eller inte.
Det sista migrationspolitiken behöver är fler undermåliga lagar och tvära kast – @TobiasBillstrom & @JonasRansgard.","nya_moderaterna"
"48","Det skulle vara bra mycket mer konstruktivt om landets försvars- respektive justitieminister tog intryck av den negativa utveckling vi sett under senare år och fokuserade på lösningar i sak – @tomastobe och Hans Wallmark.","nya_moderaterna"
"49","Mycket bra att med mer undervisningstid i idrott och matematik. Bristfälliga matematikkunskaper repareras inte utan undervisning. Välkommet att regeringen därmed också följer riksdagens beslut, det är det hög tid för.","nya_moderaterna"
"50","Vi måste ge Sveriges lantbrukare bättre förutsättningar så att de kan producera mer mat och skapa fler arbetstillfällen i Sverige. Det är bra för miljön, landsbygden och landets tillväxt – @StenBergheden.","nya_moderaterna"
"51","Vi är beredda att satsa på primärvården. Sverige behöver en nationell primärvårdsreform – @alliansswe och @lakarforbundet.","nya_moderaterna"
"52","Jag tycker att det är oacceptabelt att kvinnor i det här området ska känna en sådan oro att man till och med överväger att inte föda några fler barn. - @CamillaWalterss om BB i Sollefteå.","nya_moderaterna"
"53","Gängkriminaliteten växer, skjutningarna blir fler och gängen tar över delar av samhällen. Det är oacceptabelt.
Moderaterna har lagt fram 12 konkreta förslag för att ta tillbaka makten från de kriminella gängen: https://moderaterna.se/ta-tillbaka-makten-12-punktsprogram-mot-de-kriminella-gangen …","nya_moderaterna"
"54","Sverige har allvarliga problem med gängbrottsligheten och skjutningar. M vill satsa 5,6 miljarder extra på polisen nästa mandatperiod för satsningar på rekrytering av poliser o högre löner samt avskrivningar av polisstudenternas studielån. RT:a om du du vill se fler poliser!","nya_moderaterna"
"55","Endast 60% av dem som fick avslag på sina asylansökningar 2016, har lämnat landet. Sverige behöver en mycket tydligare återvändandepolitik.","nya_moderaterna"
"56","Socialdemokraterna har tyvärr sällan dragit sig för att glida på sanningen i valrörelser. Men det vi ser nu är ändå något nytt. Andersson och Ygeman verkar ha förlorat både omdöme och fattning i sina utfall mot Moderaterna i denna fråga – @matsgreenM.","nya_moderaterna"
"57","Migrationsdomstolens sågning av gymnasielagen är - förutom ett fiasko för regeringen - en illustration av hur viktigt det är i en rättsstat o demokrati att det finns oberoende domstolar m modiga domare. Domstolarna o domarna förtjänar för övr än bättre skydd för detta oberoende.","nya_moderaterna"
"58","ULF KRISTERSSON HÄLSAR TILL DET BLÅ-GULA LAGET!
Han finns på plats vid dagens VM-match och stöttar från läktaren. 
Vi tror på er och önskar stort lycka till idag – mot semifinal! ","nya_moderaterna"
"59","Vi behöver även se över regelverket gällande utländska studenter och företagare. Liksom införa talangvisum för högkvalificerad arbetskraft. Sverige ska vara ett attraktivt land för arbetskraftsinvandring.","nya_moderaterna"
"60","Inför särskilda startup-visum för att göra Sverige mer attraktivt för skickliga entreprenörer. Presenterar nya förslag om arbetskraftsinvandring i SvD med Gunnar Strömmer.","nya_moderaterna"
"61","I stället för att stänga ute Sverige från omvärlden behöver vi ta steg för att stärka Sverige i den globala konkurrensen – Gunnar Strömmer & @JohanForssell.","nya_moderaterna"
"62","”Det spelar roll på vad man röstar på i valet. Skiljelinjerna i politiken blir allt tydligare och vill man ha Ulf Kristersson som statsminister måste man rösta på Moderaterna” @TobiasBillstrom","nya_moderaterna"
"63","Det är väldigt dåligt att den skarpa kritik som lagrådet framförde och de invändningar som kom från en lång rad remissinstanser inte fick något genomslag – @TobiasBillstrom.","nya_moderaterna"
"64","Det var förutsägbart att det skulle bli så här. Glad att Moderaterna omedelbart sa nej när förslaget presenterades och att vi röstade nej i Riksdagen. #svpol #migpol","nya_moderaterna"
"65","Missa inte @TobiasBillstrom kl. 10.00 i @ExpressenTV från #Almedalen.","nya_moderaterna"
"66","Går i Mångfaldsparaden i Visby under Almedalsveckan för kärlek, demokrati, och yttrandefrihet. Och lite marknadsekonomi. 
 #Almedalen18","nya_moderaterna"
"67","Sverige behöver en regering som har förmågan att fokusera på skolans verkliga problem och som prioriterar mer kunskap i skolan – @bengtzboe.","nya_moderaterna"
"68","Jag föraktar dem som försöker förstöra det demokratiska samtalet – Ulf Kristersson hos @dagenssamhalle i #Almedalen.","nya_moderaterna"
"69","Just nu: Ulf Kristersson i @RIXFM från #Almedalen! Lyssna här:","nya_moderaterna"
"70","”I Sverige dömer vi väldigt nära straffminimum. Därför vill vi i @nya_moderaterna genomföra straffskärpningar mot de brott som vi ser extra allvarligt på.” @tomastobe 

#handelnshus #almedalen #säkpol","nya_moderaterna"
