"","V1","V2"
"1","Migrationsverket släppte i dag sin nya prognos där asylinvandringen förväntas uppgå till 122 000 personer för perioden 2018–2021, med andra ord människor motsvarande ett Helsingborg. Samtidigt antas anhöriginvandringen uppgå till 181 000 personer för samma period.","sdriks"
"2","Idag är det inte olagligt att stoppa utvisningar, gömma personer som stannar i landet illegalt eller hjälpa dem på annat sätt. Det vill vi ändra på. 

Att vistas i Sverige utan tillstånd är ett brott. Att hjälpa andra begå brott ska alltid vara olagligt.

#SD2018","sdriks"
"3","LEDARE. Det är märkligt att Advokatsamfundet inte funderar över den image Anne Ramberg ger dem. Respekten för advokater stiger knappast när de leds av en extremist som gör allt för att undergräva respekten för demokrati, lagarna och domstolarna. #svpol","sdriks"
"4","43 dagar till valet. 

Jag har noterat att det diskuteras huruvida det är olagligt eller inte att stoppa utvisningar så som skedde förra veckan. 

Den 9/9 kan du rösta för att ta bort eventuella frågetecken. Självklart ska det vara olagligt att medverka till att lagen inte följs.","sdriks"
"5","Fräsch att statligt finansierade organisationer som @Kvinnolobbyn och ABF lägger pengar på valinformation på persiska (?) och råkar glömma informationen om @sdriks... 

Valrörelsen har börjat.","sdriks"
"6","Sverige är ett märkligt land.","sdriks"
"7","Mattias Karlsson svarar Moderaterna: ""Vi kan inte stödja en regering där Centerpartiets ansvarslösa migrationspolitik får genomslag. Vi kommer också att få svårt att stödja en regering som inte tar sjukas och fattiga äldres situation på största allvar.""","sdriks"
"8","Anne Ramberg, Generalsekreterare i Sveriges Advokatsamfund, försvarar lagöverträdelser och samtidigt beteendet hos den asylaktivist som hindrade ett flyg fullt med folk från att lyfta, för att hindra en utvisning.","sdriks"
"9","Polisen: Det finns inte någon naturlig orsak till de här bränderna. Det är någon som gör det här med uppsåt.

Läs mer:","sdriks"
"10","Polisen misstänker att flera av bränderna som härjar i landet är anlagda. I Åkersberga utbröt en markbrand förra veckan. Polisen kunde då gripa en man i närheten som betedde sig underligt och försökte springa från platsen. Mannen har nu begärts häktad misstänkt för mordbrand.","sdriks"
"11","Saker vi aldrig glömmer...","sdriks"
"12","Kommer du ihåg när det var minusgrader och du såg fram emot sommaren?","sdriks"
"13","Medan utländska brandmän hjälper till att släcka bränderna måste svensk polis patrullera innanför avspärrningarna för att hindra att räddningspersonal och de som flytt elden blir bestulna.","sdriks"
"14","Sverigedemokraterna fortsätter att slå rekord i opinionsundersökningarna. Näst på tur är Skops julimätning där SD blir näst största parti. 20,7 procent uppger att skulle rösta på SD om det vore val idag.","sdriks"
"15","Sverige behöver en fungerande rehabiliteringskedja, där sjuka tillåts bli friska och friska tillåts ta sig ur utanförskap och åter in i arbete och studier.","sdriks"
