"","V1","V2"
"1","Ett starkare samhälle, med bättre sjukvård och skola, snabbare integration och tuffare tag mot brottsligheten. Så bygger vi ett tryggare Sverige.","socialdemokrat"
"2","Återigen - stark tillväxt och export - skapar nya jobb och starkare finanser. Tror att Finansministern gillar rubriken och resultatet!","socialdemokrat"
"3","Det blir ett val som står mellan:
Skattesänkningar för de som har mest
eller
välfärdssatsningar för ett starkare samhälle.","socialdemokrat"
"4","Det behövs bättre verktyg för polis, åklagare och kronofogden för att stoppa bilmålvakterna. Ser fram emot utredningens förslag nästa vecka och är beredd att skärpa regelverket ordentligt. Bilmålvakterna ska bort.
- @TomasEneroth","socialdemokrat"
"5","Tillväxt och jobb ","socialdemokrat"
"6","Mycket bra av regeringen och <U+2066>@johanssonmorgan<U+2069> Framförallt att rejält öka utbildningstakten av brandmän har vi i <U+2066>@FacketKommunal<U+2069> drivit en längre tid ","socialdemokrat"
"7","Mycket bra! Resultatet av ett mycket professionellt arbete, bra ledning, god samverkan och enastående insatser från alla som varit på plats för att bekämpa branden!","socialdemokrat"
"8","Allt fler får jobb i Stockholm, och allt färre behöver försörjningsstöd av samhället:","socialdemokrat"
"9","Nu syns resultatet av satsningen mot internationella stöldligor, som står för nästan hälften av inbrotten i Sverige. Jag träffade Georgiens inrikesminister tidigare i år, och samarbetet mellan Sverige och Georgien mot dessa stöldligor har fördjupats.","socialdemokrat"
"10","”Klimatförändringen är på riktigt. Den är här nu. Och om det fortsätter så kommer vi att ha fler extremår framöver och då måste vi se till att vi har den beredskap som behövs.” @johanssonmorgan","socialdemokrat"
"11","Mardrömmen. En kvinna som aldrig mer kommer hem från jobbet. Det som inte får hända. Arbetsmiljöarbete och nollvision - livsviktigt!","socialdemokrat"
"12","Brandläget har förbättrats på flera håll i landet. Den S-ledda regeringen lägger nu flera förslag för att rusta Sverige starkare inför liknande katastrofer:

Fördubblad utbildningstakt av brandmän
Investera mer i utrustning
Utveckla luftunderstödet","socialdemokrat"
"13","Vi måste arbeta på alla fronter i den krissituation vi har med värmen. Samordning och samarbete är honnörsord för hur regeringen just nu arbetar tillsammans med ansvariga myndigheter. Hälsokonsekvenserna ska hållas på ett minimum för våra äldre.","socialdemokrat"
"14","Försvarsminister Peter Hultqvist kommenterar arbetet med att släcka skogsbränderna och framför ett stort tack till alla som deltar i brandbekämpningen. Se intervjun i TV4!","socialdemokrat"
"15","Många gör stora insatser för att bekämpa pågående bränder.  Försvarsministern Peter Hultqvist träffade idag Röda Korset för att informera sig om deras stöd och uttrycka sin och regeringens uppskattning för de insatser alla frivilliga bidrar med.","socialdemokrat"
"16","Mer om besluten och åtgärder med anledning av skogsbränderna finns här:","socialdemokrat"
"17","Igår samlade statsminister Stefan Löfven hela regeringen. Ett antal beslut togs med anledning av bränderna, bland annat om stöd till markägare, kommuner och frivilligorganisationer. https://www.facebook.com/329885883718979/posts/2344455002262047/ …","socialdemokrat"
"18","Moderaterna har under lång tid hävdat att det är marknaden som ska avgöra var och när vård ska etableras. Men det fungerar inte. Därför vill vi styra vården i Stockholm utifrån behov, skriver Erika Ullberg (S) och Dag Larsson (S).","socialdemokrat"
"19","Varje fredag håller Socialstyrelsen möten med alla landsting - så att läget kontrolleras och följs upp löpande. Läget är ansträngt på sina håll men i dagsläget hanterar vården värmeböljan bra konstaterar Socialstyrelsen efter dagens möte.","socialdemokrat"
"20","Det är ett ansträngt läge för våra äldre just nu. Har därför kontaktat socialutskottet om att ge en dragning om det aktuella läget och arbetet som sker. Riksdagen är Sveriges högsta beslutande organ och jag anser det viktigt att de är välinformerade.","socialdemokrat"
"21","- Statlig service utökas med 55 nya servicekontor i hela landet
- Arbetsförmedlingen ska ingå i servicekontorsorganisationen
- Passfunktion läggs till vid de orter som saknar passhantering","socialdemokrat"
"22","Utökad statlig service och passhantering på fler orter
Därför att det får vara nog med stockholmsfixering i politiken.","socialdemokrat"
